"logFC","AveExpr","t","pvalue","adj.pvalue","B","contrast","protein","organism","label","TlogFC"
"sp|P40046|VTC1_YEAST1",0.588063605133463,13.7629419534982,14.5813015282154,1.2729035748502e-05,0.00133489848588794,4.1589144952119,"conditionD-conditionB","sp|P40046|VTC1_YEAST","YEAST","1","0.584962500721156"
"sp|Q3E754|RS21B_YEAST1",0.537420710578548,18.4449948771065,14.5716168635482,1.2774822342851e-05,0.00133489848588794,4.15520452986498,"conditionD-conditionB","sp|Q3E754|RS21B_YEAST","YEAST","1","0.584962500721156"
"sp|P05030|PMA1_YEAST1",0.529057279954696,19.1637531590933,14.5063703923335,1.30883932607358e-05,0.00133489848588794,4.13013366678452,"conditionD-conditionB","sp|P05030|PMA1_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX39|RS8A_YEAST;sp|P0CX40|RS8B_YEAST1",0.529950839307265,18.0506191688,14.4970561051481,1.3133892313018e-05,0.00133489848588794,4.12654376347518,"conditionD-conditionB","sp|P0CX39|RS8A_YEAST;sp|P0CX40|RS8B_YEAST","YEAST","1","0.584962500721156"
"sp|P38523|GRPE_YEAST1",0.617067978971081,14.3616624671904,14.4820261715112,1.3207704687477e-05,0.00133489848588794,4.12074517699493,"conditionD-conditionB","sp|P38523|GRPE_YEAST","YEAST","1","0.584962500721156"
"sp|P05739|RL6B_YEAST1",0.73476322269039,16.460732973283,14.4654390516879,1.3289731839662e-05,0.00133489848588794,4.11433754836443,"conditionD-conditionB","sp|P05739|RL6B_YEAST","YEAST","1","0.584962500721156"
"sp|P00899|TRPE_YEAST1",0.738852437796977,14.1571817170957,14.4211110290558,1.35119032793507e-05,0.00133489848588794,4.09717082701014,"conditionD-conditionB","sp|P00899|TRPE_YEAST","YEAST","1","0.584962500721156"
"sp|P0CS90|HSP77_YEAST1",0.578560794891356,18.7265252516283,14.3925251165664,1.36574943472318e-05,0.00133489848588794,4.08606737316642,"conditionD-conditionB","sp|P0CS90|HSP77_YEAST","YEAST","1","0.584962500721156"
"sp|P20606|SAR1_YEAST1",0.583548961007715,16.9053040977778,14.3810799571282,1.37163027777349e-05,0.00133489848588794,4.08161449561922,"conditionD-conditionB","sp|P20606|SAR1_YEAST","YEAST","1","0.584962500721156"
"sp|P32582|CBS_YEAST1",0.56268476148302,17.5699171102517,14.3680365569194,1.37836871175078e-05,0.00133489848588794,4.07653470072787,"conditionD-conditionB","sp|P32582|CBS_YEAST","YEAST","1","0.584962500721156"
