"logFC","AveExpr","t","pvalue","adj.pvalue","B","contrast","protein","organism","label","TlogFC"
"sp|P00330|ADH1_YEAST1",0.466909148075366,13.1983666107069,13.8207780353568,8.83741456415077e-06,0.00110725807842982,4.45849200038599,"conditionD-conditionB","sp|P00330|ADH1_YEAST","YEAST","1","0.584962500721156"
"sp|P38011|GBLP_YEAST1",0.507684468303333,10.7072072068736,13.6894025650525,9.34488094528807e-06,0.00110725807842982,4.40496034576446,"conditionD-conditionB","sp|P38011|GBLP_YEAST","YEAST","1","0.584962500721156"
"sp|P47117|ARP3_YEAST1",0.473242412909871,8.4796994194215,13.6504379318296,9.50184586076766e-06,0.00110725807842982,4.38895727078957,"conditionD-conditionB","sp|P47117|ARP3_YEAST","YEAST","1","0.584962500721156"
"sp|P04456|RL25_YEAST1",0.522286860058868,10.5414524914044,13.6295050453303,9.58743572132247e-06,0.00110725807842982,4.38033595272579,"conditionD-conditionB","sp|P04456|RL25_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX49|RL18A_YEAST1",0.507472990411303,11.3923320212883,13.5871975163974,9.76317136000516e-06,0.00110725807842982,4.36285989697969,"conditionD-conditionB","sp|P0CX49|RL18A_YEAST","YEAST","1","0.584962500721156"
"sp|P00817|IPYR_YEAST1",0.560606724969,10.3692586160814,13.550981905534,9.91658071780641e-06,0.00110725807842982,4.3478452930765,"conditionD-conditionB","sp|P00817|IPYR_YEAST","YEAST","1","0.584962500721156"
"sp|P32366|VA0D_YEAST1",0.491572778640409,8.63575764421793,13.4924268461152,1.01705847913396e-05,0.00110725807842982,4.32346113753837,"conditionD-conditionB","sp|P32366|VA0D_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX23|RL20A_YEAST;sp|P0CX24|RL20B_YEAST1",0.472267825441367,11.0066176421103,13.4656447424495,1.02892760975038e-05,0.00110725807842982,4.31226358082119,"conditionD-conditionB","sp|P0CX23|RL20A_YEAST;sp|P0CX24|RL20B_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX43|RL1A_YEAST;sp|P0CX44|RL1B_YEAST1",0.467720235489399,10.476919907496,13.4565002920513,1.03301698621982e-05,0.00110725807842982,4.30843385554609,"conditionD-conditionB","sp|P0CX43|RL1A_YEAST;sp|P0CX44|RL1B_YEAST","YEAST","1","0.584962500721156"
"sp|P18239|ADT2_YEAST1",0.4594650092706,10.059580562366,13.447591102411,1.03701932349683e-05,0.00110725807842982,4.30469949702201,"conditionD-conditionB","sp|P18239|ADT2_YEAST","YEAST","1","0.584962500721156"
"sp|P07267|CARP_YEAST1",0.533129617469022,10.1203175561628,13.4211016719684,1.04902618334008e-05,0.00110725807842982,4.29357777452215,"conditionD-conditionB","sp|P07267|CARP_YEAST","YEAST","1","0.584962500721156"
"sp|P07149|FAS1_YEAST1",0.448989293971477,8.84416035323087,13.4062199028206,1.0558424618155e-05,0.00110725807842982,4.28731743798299,"conditionD-conditionB","sp|P07149|FAS1_YEAST","YEAST","1","0.584962500721156"
"sp|P05740|RL17A_YEAST1",0.548525289342601,10.4390720892887,13.4051423306466,1.05633801523195e-05,0.00110725807842982,4.28686379405804,"conditionD-conditionB","sp|P05740|RL17A_YEAST","YEAST","1","0.584962500721156"
