"logFC","AveExpr","t","pvalue","adj.pvalue","B","contrast","protein","organism","label","TlogFC"
"sp|P06787|CALM_YEAST1",0.513458873319305,11.0487629722357,13.0436738612977,1.60955638595447e-05,0.00124644549414525,3.90292221826149,"conditionD-conditionB","sp|P06787|CALM_YEAST","YEAST","1","0.584962500721156"
"sp|P29547|EF1G1_YEAST1",0.460860055222962,9.0268940415358,13.0169826381627,1.62825035571388e-05,0.00124644549414525,3.89147351196218,"conditionD-conditionB","sp|P29547|EF1G1_YEAST","YEAST","1","0.584962500721156"
"sp|P54115|ALDH6_YEAST1",0.481531796895078,10.0145659877934,12.9939082749195,1.64461564045558e-05,0.00124644549414525,3.88155300007943,"conditionD-conditionB","sp|P54115|ALDH6_YEAST","YEAST","1","0.584962500721156"
"sp|P33302|PDR5_YEAST1",0.460701326131668,8.65689606641367,12.9926014631898,1.64554821472375e-05,0.00124644549414525,3.88099050906063,"conditionD-conditionB","sp|P33302|PDR5_YEAST","YEAST","1","0.584962500721156"
"sp|P05694|METE_YEAST1",0.462224281150123,9.28647689713049,12.9704043498843,1.66148331111774e-05,0.00124644549414525,3.87142562311888,"conditionD-conditionB","sp|P05694|METE_YEAST","YEAST","1","0.584962500721156"
"sp|P40825|SYA_YEAST1",0.495776626429468,8.70731721696777,12.9474097603626,1.67818117118999e-05,0.00124644549414525,3.86149597945097,"conditionD-conditionB","sp|P40825|SYA_YEAST","YEAST","1","0.584962500721156"
"sp|P37291|GLYC_YEAST1",0.441026942649616,9.57009200889031,12.8903103237801,1.72049886014506e-05,0.00124644549414525,3.8367456351655,"conditionD-conditionB","sp|P37291|GLYC_YEAST","YEAST","1","0.584962500721156"
"sp|P40075|SCS2_YEAST1",0.470374853643342,8.10938020341145,12.888482661003,1.72187381716756e-05,0.00124644549414525,3.8359512090329,"conditionD-conditionB","sp|P40075|SCS2_YEAST","YEAST","1","0.584962500721156"
"sp|P00925|ENO2_YEAST1",0.436855073379601,11.4777012905085,12.8676102535605,1.73766750084792e-05,0.00124644549414525,3.8268689035653,"conditionD-conditionB","sp|P00925|ENO2_YEAST","YEAST","1","0.584962500721156"
"sp|P0C0W9|RL11A_YEAST;sp|Q3E757|RL11B_YEAST1",0.488026226786669,12.1796516904232,12.8454169319591,1.75464647803757e-05,0.00124644549414525,3.8171921311515,"conditionD-conditionB","sp|P0C0W9|RL11A_YEAST;sp|Q3E757|RL11B_YEAST","YEAST","1","0.584962500721156"
"sp|P09436|SYIC_YEAST1",0.430680996676591,8.92284285759595,12.7730280021176,1.81138879470429e-05,0.00124644549414525,3.78548719320414,"conditionD-conditionB","sp|P09436|SYIC_YEAST","YEAST","1","0.584962500721156"
"sp|P07245|C1TC_YEAST1",0.475317617273301,8.80556670712847,12.7718728701358,1.81231145736814e-05,0.00124644549414525,3.78497950120688,"conditionD-conditionB","sp|P07245|C1TC_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX31|RS24A_YEAST;sp|P0CX32|RS24B_YEAST1",0.541372248353033,10.9384675234514,12.7618335364823,1.8203535229063e-05,0.00124644549414525,3.78056476826839,"conditionD-conditionB","sp|P0CX31|RS24A_YEAST;sp|P0CX32|RS24B_YEAST","YEAST","1","0.584962500721156"
"sp|P23542|AATC_YEAST1",0.5422356572816,9.03989051735,12.7385452657405,1.83916961108833e-05,0.00124644549414525,3.7703076736522,"conditionD-conditionB","sp|P23542|AATC_YEAST","YEAST","1","0.584962500721156"
"sp|P36421|SYYC_YEAST1",0.467925280478516,9.05930766448768,12.7206328291298,1.85379674426576e-05,0.00124644549414525,3.76240284935992,"conditionD-conditionB","sp|P36421|SYYC_YEAST","YEAST","1","0.584962500721156"
"sp|P40024|ARB1_YEAST1",0.482808971066877,8.53974302469975,12.6959990148008,1.8741347999061e-05,0.00124644549414525,3.75150983049591,"conditionD-conditionB","sp|P40024|ARB1_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX84|RL35A_YEAST1",0.461030112379133,11.0863825168685,12.6634121121378,1.90144045008898e-05,0.00124644549414525,3.73706065525268,"conditionD-conditionB","sp|P0CX84|RL35A_YEAST","YEAST","1","0.584962500721156"
"sp|P05755|RS9B_YEAST1",0.5219529203706,10.5808539432143,12.6592166379793,1.90498960193437e-05,0.00124644549414525,3.73519710071253,"conditionD-conditionB","sp|P05755|RS9B_YEAST","YEAST","1","0.584962500721156"
"sp|P00815|HIS2_YEAST1",0.422509825046538,8.58687728724598,12.6575113829789,1.90643436766331e-05,0.00124644549414525,3.73443944383501,"conditionD-conditionB","sp|P00815|HIS2_YEAST","YEAST","1","0.584962500721156"
"sp|Q12213|RL7B_YEAST1",0.547713839360792,10.2227163668828,12.6314546320458,1.92867059689433e-05,0.00124644549414525,3.72284690116016,"conditionD-conditionB","sp|Q12213|RL7B_YEAST","YEAST","1","0.584962500721156"
"sp|P39676|FHP_YEAST1",0.528551463831942,8.59644858489347,12.6010887440495,1.95496706425421e-05,0.00124644549414525,3.70930080510589,"conditionD-conditionB","sp|P39676|FHP_YEAST","YEAST","1","0.584962500721156"
"sp|Q12690|RL13A_YEAST1",0.480215559529636,11.7993818649393,12.5785136549757,1.97478812067219e-05,0.00124644549414525,3.69920464555119,"conditionD-conditionB","sp|Q12690|RL13A_YEAST","YEAST","1","0.584962500721156"
"sp|P02407|RS17A_YEAST;sp|P14127|RS17B_YEAST1",0.513226413519066,12.7913853801007,12.5782037491542,1.975061846868e-05,0.00124644549414525,3.69906589598805,"conditionD-conditionB","sp|P02407|RS17A_YEAST;sp|P14127|RS17B_YEAST","YEAST","1","0.584962500721156"
"sp|P16861|PFKA1_YEAST1",0.471729821504251,9.37528510874426,12.57077296924,1.98163840423566e-05,0.00124644549414525,3.6957377903078,"conditionD-conditionB","sp|P16861|PFKA1_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX35|RS4A_YEAST;sp|P0CX36|RS4B_YEAST1",0.471731382477063,11.2494747656352,12.5679053371774,1.98418321163309e-05,0.00124644549414525,3.69445279924785,"conditionD-conditionB","sp|P0CX35|RS4A_YEAST;sp|P0CX36|RS4B_YEAST","YEAST","1","0.584962500721156"
"sp|P26785|RL16B_YEAST1",0.563876902928467,11.1289732963168,12.5601861973462,1.99105233608627e-05,0.00124644549414525,3.6909920860021,"conditionD-conditionB","sp|P26785|RL16B_YEAST","YEAST","1","0.584962500721156"
"sp|P00950|PMG1_YEAST1",0.477050865077098,11.7243091322464,12.4970290412927,2.04830923902664e-05,0.00124644549414525,3.66258057445143,"conditionD-conditionB","sp|P00950|PMG1_YEAST","YEAST","1","0.584962500721156"
"sp|P10592|HSP72_YEAST1",0.431803870028499,11.8928700234084,12.4896496690446,2.05512376083322e-05,0.00124644549414525,3.65924969133002,"conditionD-conditionB","sp|P10592|HSP72_YEAST","YEAST","1","0.584962500721156"
"sp|P38701|RS20_YEAST1",0.424233808765665,12.4978373369848,12.488247961572,2.05642116280357e-05,0.00124644549414525,3.65861672532503,"conditionD-conditionB","sp|P38701|RS20_YEAST","YEAST","1","0.584962500721156"
"sp|P38707|SYNC_YEAST1",0.517652284702374,8.69755396485687,12.4751706499231,2.06857150956929e-05,0.00124644549414525,3.65270732538679,"conditionD-conditionB","sp|P38707|SYNC_YEAST","YEAST","1","0.584962500721156"
"sp|P15992|HSP26_YEAST1",0.485094236841599,10.5561899288689,12.4636836365345,2.07931343054178e-05,0.00124644549414525,3.64751042530937,"conditionD-conditionB","sp|P15992|HSP26_YEAST","YEAST","1","0.584962500721156"
"sp|P0CX82|RL19A_YEAST;sp|P0CX83|RL19B_YEAST1",0.496058745782502,12.0555553179732,12.4277471160968,2.11334169222832e-05,0.00124644549414525,3.6312150878778,"conditionD-conditionB","sp|P0CX82|RL19A_YEAST;sp|P0CX83|RL19B_YEAST","YEAST","1","0.584962500721156"
