"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"52","sp|P08390|USG_ECOLI","conditionB-conditionA",65.7914961449211,3.39728245535298e-14,-1.21493759160395,2.08344879810012e-12,"ECOLI","1","1"
"53","sp|P0A8F0|UPP_ECOLI","conditionB-conditionA",65.7245634399546,3.50830475781549e-14,-1.08670701073002,2.11094035333464e-12,"ECOLI","1","1"
"54","sp|P63284|CLPB_ECOLI","conditionB-conditionA",65.6814967278073,3.58602036953926e-14,-1.06126362585891,2.11774425156679e-12,"ECOLI","1","1"
"55","sp|P76116|YNCE_ECOLI","conditionB-conditionA",65.4911653404441,3.94129173741931e-14,-1.02459947228515,2.28523260920548e-12,"ECOLI","1","1"
"56","sp|P0A862|TPX_ECOLI","conditionB-conditionA",65.3968316335371,4.13002965160558e-14,-0.947057777628089,2.35190438553039e-12,"ECOLI","1","1"
"57","sp|P28635|METQ_ECOLI","conditionB-conditionA",65.2021977819603,4.54081217071689e-14,-1.08409195542515,2.54046491445898e-12,"ECOLI","1","1"
"58","sp|P05825|FEPA_ECOLI","conditionB-conditionA",65.1207438031417,4.72955008490317e-14,-0.921962350225396,2.60043710702693e-12,"ECOLI","1","1"
"59","sp|P45565|AIS_ECOLI","conditionB-conditionA",65.0303645313049,4.94049245958195e-14,1.3252424703665,2.67037804298421e-12,"ECOLI","1","1"
"60","sp|P0ACY1|YDJA_ECOLI","conditionB-conditionA",64.9312943098423,5.18474152499948e-14,-1.02583726537991,2.75569012053722e-12,"ECOLI","1","1"
"61","sp|P0A6T5|GCH1_ECOLI","conditionB-conditionA",64.5935810424966,6.12843109593086e-14,-1.00950716533225,3.20386340408582e-12,"ECOLI","1","1"
"62","sp|P0A8L1|SYS_ECOLI","conditionB-conditionA",64.5285666152255,6.32827124036339e-14,-1.40500666375645,3.2549769331482e-12,"ECOLI","1","1"
"63","sp|P62399|RL5_ECOLI","conditionB-conditionA",64.4864794966124,6.46149800331841e-14,0.702920940871973,3.27074875120356e-12,"ECOLI","1","1"
"64","sp|P00963|ASNA_ECOLI","conditionB-conditionA",63.8408938399,8.88178419700125e-14,1.17394016719453,4.42562653191203e-12,"ECOLI","1","1"
"65","sp|P0A855|TOLB_ECOLI","conditionB-conditionA",63.7988211557006,9.05941988094128e-14,-1.19161081690728,4.44469076928027e-12,"ECOLI","1","1"
"66","sp|P0A6P9|ENO_ECOLI","conditionB-conditionA",63.5100321736544,1.04471986617227e-13,-0.689473318370315,5.04789644427784e-12,"ECOLI","1","1"
"67","sp|P0A7J7|RL11_ECOLI","conditionB-conditionA",63.2269725037802,1.20126131264442e-13,0.885394005010856,5.71764526272098e-12,"ECOLI","1","1"
"68","sp|P08200|IDH_ECOLI","conditionB-conditionA",62.8894141742904,1.41775480244632e-13,0.724574337001059,6.64885303676666e-12,"ECOLI","1","1"
"69","sp|P0AB71|ALF_ECOLI","conditionB-conditionA",62.5815611979863,1.64979141459298e-13,1.00183575878014,7.62490553787974e-12,"ECOLI","1","1"
"70","sp|P21507|SRMB_ECOLI","conditionB-conditionA",62.5027340281312,1.71529457304587e-13,-1.07855675440149,7.81439199063324e-12,"ECOLI","1","1"
"71","sp|P0A9Q1|ARCA_ECOLI","conditionB-conditionA",62.425207973182,1.78190795452338e-13,-1.50204953994697,8.00352741827471e-12,"ECOLI","1","1"
"72","sp|P0A9V1|LPTB_ECOLI","conditionB-conditionA",62.3405900532753,1.85851334322251e-13,1.30795795116555,8.22075284557906e-12,"ECOLI","1","1"
"73","sp|P0AEQ3|GLNH_ECOLI","conditionB-conditionA",62.3144899997371,1.88182802673964e-13,-1.26590749476775,8.22075284557906e-12,"ECOLI","1","1"
"74","sp|P0AD12|YEEZ_ECOLI","conditionB-conditionA",61.842235442917,2.37476704967321e-13,-1.09062395849136,1.02339623262268e-11,"ECOLI","1","1"
"75","sp|P18335|ARGD_ECOLI","conditionB-conditionA",60.4384334716222,4.73732164607554e-13,-1.12716821313851,2.01430916391132e-11,"ECOLI","1","1"
"76","sp|P0AFK9|POTD_ECOLI","conditionB-conditionA",60.3422307501932,4.96713781217295e-13,-0.933339034608657,2.08423716881836e-11,"ECOLI","1","1"
"77","sp|P00350|6PGD_ECOLI","conditionB-conditionA",60.1423925882711,5.48006084954977e-13,-1.01950354992744,2.26959922717068e-11,"ECOLI","1","1"
"78","sp|P0A6E4|ASSY_ECOLI","conditionB-conditionA",59.6624063610585,6.94000412693185e-13,-0.981085026177571,2.83739399497252e-11,"ECOLI","1","1"
"79","sp|P68919|RL25_ECOLI","conditionB-conditionA",59.2494659148572,8.50319814560407e-13,0.908695118143477,3.43249352991537e-11,"ECOLI","1","1"
"80","sp|P0A8T7|RPOC_ECOLI","conditionB-conditionA",59.136609239872,8.98836560736527e-13,-0.830348873858917,3.58298724023598e-11,"ECOLI","1","1"
"81","sp|P03023|LACI_ECOLI","conditionB-conditionA",58.933631407184,9.93205517829665e-13,0.704017007753684,3.91028690908494e-11,"ECOLI","1","1"
"82","sp|P0A6A6|LEUC_ECOLI","conditionB-conditionA",58.8633800060059,1.0280665208029e-12,-1.54123327538636,3.99817577419565e-11,"ECOLI","1","1"
"83","sp|P0C0V0|DEGP_ECOLI","conditionB-conditionA",58.6861796631608,1.12176934408126e-12,-1.12143525450504,4.31002703406642e-11,"ECOLI","1","1"
"84","sp|P13029|KATG_ECOLI","conditionB-conditionA",58.6518701694697,1.14075415780235e-12,-1.41044250264598,4.33079167765677e-11,"ECOLI","1","1"
"85","sp|P00934|THRC_ECOLI","conditionB-conditionA",58.4274714254534,1.2738698984549e-12,0.878753235428071,4.77926012490905e-11,"ECOLI","1","1"
