"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"57","sp|P49626|RL4B_YEAST","conditionC-conditionB",19.9250367330609,0.000175923784494492,0.293311441202665,0.00912897759093587,"YEAST","1","0.321928094887362"
"58","sp|P16140|VATB_YEAST","conditionC-conditionB",19.9014236493493,0.000177916901973885,-0.536401497235289,0.00912897759093587,"YEAST","1","0.321928094887362"
"59","sp|P16120|THRC_YEAST","conditionC-conditionB",19.6901802633771,0.000196777562830874,0.670691969506464,0.00982267652471744,"YEAST","1","0.321928094887362"
"60","sp|P46990|RL17B_YEAST","conditionC-conditionB",19.6571451530476,0.00019990185243679,-1.27273758733006,0.00982267652471744,"YEAST","1","0.321928094887362"
"61","sp|P22146|GAS1_YEAST","conditionC-conditionB",19.6421270424083,0.000201338463712286,0.472191864045453,0.00982267652471744,"YEAST","1","0.321928094887362"
"62","sp|P00817|IPYR_YEAST","conditionC-conditionB",19.519254785136,0.000213484820794974,-0.38784311767516,0.0102405741813444,"YEAST","1","0.321928094887362"
"63","sp|P15108|HSC82_YEAST","conditionC-conditionB",19.487058563849,0.000216786348597009,0.267080843138082,0.0102405741813444,"YEAST","1","0.321928094887362"
"64","sp|P16467|PDC5_YEAST","conditionC-conditionB",19.4233508798341,0.00022346966747766,-0.400538894146166,0.0103913395377112,"YEAST","1","0.321928094887362"
"65","sp|P00445|SODC_YEAST","conditionC-conditionB",19.3430716291951,0.000232184147222592,-0.312013602473549,0.0106304618789913,"YEAST","1","0.321928094887362"
"66","sp|P0CX24|RL20B_YEAST","conditionC-conditionB",13.4366726904916,0.000246752874788259,0.34880241448905,0.0111263114449978,"YEAST","1","0.321928094887362"
"67","sp|O13535|YH11B_YEAST","conditionC-conditionB",13.3961555618908,0.000252140555427771,0.427993523595291,0.0111995566112395,"YEAST","1","0.321928094887362"
"68","sp|Q02642|NACB1_YEAST","conditionC-conditionB",19.1314305012463,0.000256813140017353,-0.312829482845892,0.011239351539583,"YEAST","1","0.321928094887362"
"69","sp|P0CX46|RL2B_YEAST","conditionC-conditionB",13.2776215749179,0.000268593032912379,0.320653731414573,0.0115432753197318,"YEAST","1","0.321928094887362"
"70","sp|P10592|HSP72_YEAST","conditionC-conditionB",18.9694918020544,0.000277398773166238,0.298277688187078,0.0115432753197318,"YEAST","1","0.321928094887362"
"71","sp|P38013|AHP1_YEAST","conditionC-conditionB",18.966178936136,0.00027783660742231,0.363641136418845,0.0115432753197318,"YEAST","1","0.321928094887362"
"72","sp|P53252|PIL1_YEAST","conditionC-conditionB",18.9553484308043,0.000279272789993512,-1.53371588201119,0.0115432753197318,"YEAST","1","0.321928094887362"
"73","sp|Q08224|THI20_YEAST","conditionC-conditionB",13.0126174435472,0.000309399171767311,0.366015153231267,0.0126133141805413,"YEAST","1","0.321928094887362"
"74","sp|P38009|PUR92_YEAST","conditionC-conditionB",18.6795811600237,0.00031843608559079,0.412277649406626,0.0126804341905529,"YEAST","1","0.321928094887362"
"75","sp|P38088|SYG_YEAST","conditionC-conditionB",18.6721262815319,0.000319567393915143,-1.24705396737513,0.0126804341905529,"YEAST","1","0.321928094887362"
"76","sp|P0CX52|RS16B_YEAST;sp|P0CX51|RS16A_YEAST","conditionC-conditionB",15.83800315087,0.00036376533749416,0.363685697770265,0.0142442847945081,"YEAST","1","0.321928094887362"
"77","sp|P25294|SIS1_YEAST","conditionC-conditionB",18.3630919528789,0.000370155167575881,-0.716602778431287,0.0143062568663094,"YEAST","1","0.321928094887362"
"78","sp|P05748|RL15A_YEAST;sp|P54780|RL15B_YEAST","conditionC-conditionB",15.7008423189226,0.000389587855085138,0.320273881175517,0.0148642750863253,"YEAST","1","0.321928094887362"
"79","sp|P26783|RS5_YEAST","conditionC-conditionB",18.1448538552959,0.000410604436193229,0.306889725846958,0.0154678329381146,"YEAST","1","0.321928094887362"
"80","sp|P16861|PFKA1_YEAST","conditionC-conditionB",17.996702493013,0.000440538971253401,-0.923252382560285,0.0162592251347805,"YEAST","1","0.321928094887362"
"81","sp|O13535|YH11B_YEAST;sp|Q12217|YB12A_YEAST;sp|P0C2J0|YP13B_YEAST;sp|Q12193|YB12B_YEAST;sp|Q92393|YO12B_YEAST;sp|Q03855|YD11B_YEAST;sp|Q04670|YM14B_YEAST;sp|Q03619|YE12B_YEAST;sp|P0C2I2|YD14B_YEAST;sp|Q12316|YG13B_YEAST;sp|Q12088|YL11B_YEAST;sp|P0C2I4|YH11A_YEAST;sp|P0CX68|YL11A_YEAST;sp|P0CX59|YO12A_YEAST;sp|P0CX60|YP13A_YEAST;sp|P0CX65|YD14A_YEAST;sp|P0CX66|YE12A_YEAST;sp|Q03856|YD11A_YEAST;sp|P0CX69|YM14A_YEAST;sp|P0CX67|YG13A_YEAST;sp|P0CX75|YL13A_YEAST;sp|Q03434|YM12B_YEAST;sp|Q04711|YM11B_YEAST;sp|P0C2J1|YP14B_YEAST;sp|P0C2I6|YL13B_YEAST;sp|P47100|YJ12B_YEAST;sp|P47098|YJ11B_YEAST;sp|Q12141|YG11B_YEAST;sp|Q12269|YG12B_YEAST;sp|P0CX76|YM12A_YEAST;sp|Q99231|YD12B_YEAST;sp|Q12485|YG12A_YEAST;sp|P0CX74|YJ11A_YEAST;sp|P47099|YJ12A_YEAST;sp|Q12085|YG11A_YEAST;sp|Q6Q5H1|YP14A_YEAST;sp|Q12441|YD12A_YEAST;sp|Q04706|YM11A_YEAST;sp|P0C2I8|YL14A_YEAST;sp|Q12273|YO11B_YEAST;sp|Q92392|YO11A_YEAST;sp|Q12490|YB11B_YEAST;sp|Q12266|YB11A_YEAST","conditionC-conditionB",15.4361301977744,0.000444720261687515,0.317475109427964,0.0162592251347805,"YEAST","1","0.321928094887362"
"82","sp|Q3E754|RS21B_YEAST","conditionC-conditionB",17.9613223875944,0.00044800284309543,0.338026251076094,0.0162592251347805,"YEAST","1","0.321928094887362"
"83","sp|P05030|PMA1_YEAST","conditionC-conditionB",12.2845023997319,0.000456735160639932,0.37082849709255,0.0163764317839089,"YEAST","1","0.321928094887362"
"84","sp|Q06252|YL179_YEAST","conditionC-conditionB",17.6010190419661,0.000531552681716563,-0.420595629398864,0.0188321521522439,"YEAST","1","0.321928094887362"
"85","sp|P46655|SYEC_YEAST","conditionC-conditionB",17.4548117209543,0.000569719961399318,-0.678450977859669,0.0199469012367573,"YEAST","1","0.321928094887362"
"86","sp|P05030|PMA1_YEAST;sp|P19657|PMA2_YEAST","conditionC-conditionB",14.8738498005215,0.000589093937706675,-0.436097637747945,0.0203853902164542,"YEAST","1","0.321928094887362"
"87","sp|P31539|HS104_YEAST","conditionC-conditionB",17.3308974768205,0.000604192049177055,0.548903102996082,0.0206675349235737,"YEAST","1","0.321928094887362"
"88","sp|P00549|KPYK1_YEAST","conditionC-conditionB",11.7185754857149,0.000618793040933818,0.280909582024112,0.0209264555661255,"YEAST","1","0.321928094887362"
"89","sp|P38616|YGP1_YEAST","conditionC-conditionB",17.08054102242,0.000680291305560465,0.361465800792839,0.0225621436884262,"YEAST","1","0.321928094887362"
"90","sp|P20606|SAR1_YEAST","conditionC-conditionB",17.0742456196749,0.000682322893803211,-0.599938119451366,0.0225621436884262,"YEAST","1","0.321928094887362"
"91","sp|P35176|CYPD_YEAST","conditionC-conditionB",16.8507668009523,0.000758483170245627,0.513810838567341,0.0248049001609999,"YEAST","1","0.321928094887362"
"92","sp|P01123|YPT1_YEAST","conditionC-conditionB",16.7341065559084,0.000801537073651493,-0.421840081146916,0.0259279818607265,"YEAST","1","0.321928094887362"
"93","sp|Q9BVK6|TMED9_HUMAN","conditionC-conditionB",14.1542132896042,0.00084421222394726,-0.740895821171266,0.0267841690365078,"HUMAN","0","0"
"94","sp|P00924|ENO1_YEAST","conditionC-conditionB",16.6199758609328,0.00084600533919077,0.451773341603644,0.0267841690365078,"YEAST","1","0.321928094887362"
