DEA,expression_type,MVI,Normalization,label
DEP,pro_LFQ,MinDet,quantiles,1.0
limma,norm,knn,quantiles,1.0
DEP,pro_LFQ,bpca,quantiles,1.0
proDA,norm,missForest,center.mean,1.0
ROTS,MaxLFQ_raw,MinProb,center.mean,1.0
proDA,norm,missForest,center.median,1.0
ROTS,MaxLFQ_raw,MinProb,center.median,1.0
ROTS,MaxLFQ_raw,QRILC,quantiles,1.0
proDA,norm,zero,No_norm,1.0
ROTS,MaxLFQ_raw,MinDet,center.mean,1.0
ROTS,MaxLFQ_raw,MinProb,No_norm,1.0
ROTS,MaxLFQ_raw,QRILC,center.mean,1.0
ROTS,MaxLFQ_raw,QRILC,No_norm,1.0
ROTS,MaxLFQ_raw,MinDet,center.median,1.0
ROTS,MaxLFQ_raw,QRILC,center.median,1.0
ROTS,MaxLFQ_raw,MinProb,quantiles,1.0
ROTS,MaxLFQ_raw,MinDet,No_norm,1.0
ROTS,MaxLFQ_raw,MinDet,quantiles,1.0
ttest,pro_LFQ,MinProb,No_norm,1.0
proDA,norm,knn,No_norm,1.0
limma,norm,No_MVI,No_norm,1.0
limma,MaxLFQ_raw,MinDet,center.mean,2.0
ROTS,norm,No_MVI,No_norm,2.0
limma,MaxLFQ_raw,MinProb,center.mean,2.0
DEP,pro_LFQ,MinProb,quantiles,2.0
limma,MaxLFQ_raw,MinDet,center.median,2.0
limma,MaxLFQ_raw,MinDet,No_norm,2.0
ROTS,MaxLFQ_raw,min,quantiles,2.0
limma,MaxLFQ_raw,MinProb,No_norm,2.0
limma,MaxLFQ_raw,MinProb,center.median,2.0
ttest,pro_LFQ,min,No_norm,2.0
limma,MaxLFQ_raw,MinProb,quantiles,2.0
proDA,norm,No_MVI,No_norm,2.0
proDA,norm,mice,center.mean,2.0
proDA,norm,mice,center.median,2.0
proDA,pro_LFQ,mice,No_norm,2.0
DEP,pro_LFQ,missForest,quantiles,2.0
siggenes,pro_LFQ,bpca,center.median,2.0
siggenes,pro_LFQ,nbavg,No_norm,2.0
limma,MaxLFQ_raw,MinDet,quantiles,2.0
ROTS,MaxLFQ_raw,missForest,center.mean,2.0
siggenes,pro_LFQ,bpca,quantiles,2.0
siggenes,pro_LFQ,MinProb,No_norm,2.0
siggenes,pro_LFQ,bpca,No_norm,2.0
ROTS,MaxLFQ_raw,min,center.mean,2.0
ROTS,MaxLFQ_raw,min,center.median,2.0
DEP,pro_LFQ,nbavg,quantiles,2.0
ROTS,MaxLFQ_raw,missForest,center.median,2.0
ROTS,MaxLFQ_raw,missForest,No_norm,2.0
ROTS,MaxLFQ_raw,min,No_norm,2.0
limma,MaxLFQ_raw,MLE,center.mean,2.0
siggenes,pro_LFQ,nbavg,quantiles,2.0
siggenes,pro_LFQ,MLE,No_norm,2.0
limma,MaxLFQ_raw,bpca,center.mean,2.0
limma,MaxLFQ_raw,bpca,quantiles,2.0
ROTS,MaxLFQ_raw,missForest,quantiles,2.0
siggenes,pro_LFQ,bpca,center.mean,2.0
limma,MaxLFQ_raw,bpca,center.median,2.0
ROTS,MaxLFQ_raw,bpca,center.median,2.0
siggenes,pro_LFQ,QRILC,No_norm,2.0
ROTS,MaxLFQ_raw,bpca,No_norm,2.0
limma,MaxLFQ_raw,MLE,center.median,2.0
siggenes,pro_LFQ,nbavg,center.median,2.0
ROTS,MaxLFQ_raw,bpca,center.mean,2.0
siggenes,pro_LFQ,min,No_norm,2.0
limma,MaxLFQ_raw,min,quantiles,2.0
siggenes,pro_LFQ,missForest,No_norm,2.0
siggenes,pro_LFQ,MinProb,center.median,2.0
DEP,pro_LFQ,mice,No_norm,2.0
limma,MaxLFQ_raw,bpca,No_norm,2.0
siggenes,pro_LFQ,nbavg,center.mean,2.0
limma,MaxLFQ_raw,MLE,quantiles,2.0
DEP,pro_LFQ,min,center.mean,2.0
limma,MaxLFQ_raw,min,No_norm,2.0
ROTS,MaxLFQ_raw,bpca,quantiles,2.0
limma,MaxLFQ_raw,MLE,No_norm,2.0
limma,MaxLFQ_raw,min,center.mean,2.0
siggenes,pro_LFQ,MinProb,quantiles,2.0
proDA,norm,zero,center.mean,2.0
siggenes,pro_LFQ,MinProb,center.mean,2.0
proDA,MaxLFQ_raw,MinDet,center.mean,2.0
siggenes,norm,MinDet,No_norm,2.0
proDA,norm,knn,center.mean,2.0
siggenes,pro_LFQ,MLE,quantiles,2.0
siggenes,norm,bpca,No_norm,2.0
siggenes,norm,MinProb,No_norm,2.0
proDA,norm,knn,center.median,2.0
siggenes,pro_LFQ,MLE,center.median,2.0
proDA,MaxLFQ_raw,MinProb,center.mean,2.0
limma,MaxLFQ_raw,min,center.median,2.0
DEP,pro_LFQ,QRILC,quantiles,2.0
siggenes,norm,MLE,No_norm,2.0
siggenes,norm,QRILC,No_norm,2.0
proDA,MaxLFQ_raw,MinDet,No_norm,2.0
proDA,MaxLFQ_raw,MinDet,center.median,2.0
proDA,MaxLFQ_raw,MinProb,No_norm,2.0
siggenes,pro_LFQ,QRILC,center.median,2.0
siggenes,pro_LFQ,min,quantiles,2.0
proDA,norm,zero,center.median,2.0
ROTS,MaxLFQ_raw,MLE,center.mean,2.0
siggenes,norm,MinDet,quantiles,2.0
proDA,MaxLFQ_raw,MinProb,center.median,2.0
siggenes,pro_LFQ,QRILC,quantiles,2.0
limma,MaxLFQ_raw,QRILC,center.mean,2.0
siggenes,pro_LFQ,missForest,center.median,2.0
siggenes,pro_LFQ,MLE,center.mean,2.0
siggenes,norm,min,No_norm,2.0
ROTS,norm_raw,MinProb,No_norm,2.0
ROTS,MaxLFQ_raw,MLE,center.median,2.0
SAM,pro_LFQ,MinProb,No_norm,2.0
ROTS,norm,zero,div.median,2.0
siggenes,norm,nbavg,No_norm,2.0
siggenes,pro_LFQ,zero,No_norm,2.0
limma,MaxLFQ_raw,QRILC,No_norm,2.0
limma,MaxLFQ_raw,QRILC,center.median,2.0
ROTS,norm_raw,MinProb,center.mean,2.0
proDA,pro_LFQ,mice,center.median,2.0
siggenes,norm,bpca,center.median,2.0
siggenes,norm,bpca,quantiles,2.0
ROTS,MaxLFQ_raw,MLE,No_norm,2.0
ROTS,norm,No_MVI,quantiles,2.0
ROTS,norm,No_MVI,center.mean,2.0
ROTS,norm_raw,MinDet,No_norm,2.0
ROTS,raw,MinProb,center.median,2.0
ROTS,norm_raw,MinProb,center.median,2.0
ROTS,raw,QRILC,center.mean,2.0
ROTS,norm,zero,div.mean,2.0
siggenes,pro_LFQ,missForest,center.mean,2.0
limma,MaxLFQ_raw,missForest,center.mean,2.0
siggenes,pro_LFQ,missForest,quantiles,2.0
siggenes,pro_LFQ,QRILC,center.mean,2.0
DEP,pro_LFQ,min,center.median,2.0
ROTS,raw,MinDet,center.mean,2.0
limma,MaxLFQ_raw,QRILC,quantiles,2.0
ROTS,norm_raw,QRILC,No_norm,2.0
ROTS,raw,MinProb,center.mean,2.0
ROTS,norm_raw,QRILC,center.median,2.0
limma,MaxLFQ_raw,missForest,center.median,2.0
ROTS,norm_raw,QRILC,quantiles,2.0
ROTS,raw,MinDet,center.median,2.0
siggenes,norm,missForest,No_norm,2.0
ROTS,norm_raw,QRILC,center.mean,2.0
limma,pro_LFQ,zero,vsn,2.0
ROTS,norm_raw,MinDet,center.mean,2.0
ROTS,raw,QRILC,quantiles,2.0
siggenes,norm,MinDet,center.median,2.0
siggenes,norm,MinProb,quantiles,2.0
siggenes,pro_LFQ,min,center.median,2.0
ROTS,pro_LFQ,zero,div.median,2.0
ROTS,raw,QRILC,center.median,2.0
ROTS,norm_raw,MinDet,quantiles,2.0
SAM,norm,MinProb,No_norm,2.0
ROTS,norm_raw,MinProb,quantiles,2.0
siggenes,norm,MinProb,center.median,2.0
ROTS,norm_raw,MinDet,center.median,2.0
limma,MaxLFQ_raw,missForest,No_norm,2.0
siggenes,norm,min,quantiles,2.0
ROTS,raw,MinProb,quantiles,2.0
