"protein","contrast","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"55","sp|P05739|RL6B_YEAST","conditionB-conditionA",2.2083660731921e-09,-1.20015023285146,1.68977478751593e-07,"YEAST","1","-1"
"56","sp|Q03973|HMO1_YEAST","conditionB-conditionA",2.21106334957675e-09,-1.1092215280045,1.68977478751593e-07,"YEAST","1","-1"
"57","sp|P32445|RIM1_YEAST","conditionB-conditionA",2.21697965102135e-09,-1.14751641527149,1.68977478751593e-07,"YEAST","1","-1"
"58","sp|P31539|HS104_YEAST","conditionB-conditionA",2.22355786991883e-09,-1.11833509639853,1.68977478751593e-07,"YEAST","1","-1"
"59","sp|P40302|PSA6_YEAST","conditionB-conditionA",2.23375846496521e-09,-1.10553924753187,1.68977478751593e-07,"YEAST","1","-1"
"60","sp|P07263|SYH_YEAST","conditionB-conditionA",2.23702342072763e-09,-1.09784302429699,1.68977478751593e-07,"YEAST","1","-1"
"61","sp|P16521|EF3A_YEAST;sp|P53978|EF3B_YEAST","conditionB-conditionA",2.24327098455823e-09,-1.14419157851013,1.68977478751593e-07,"YEAST","1","-1"
"62","sp|P00942|TPIS_YEAST","conditionB-conditionA",2.27973826798782e-09,-1.17734408494829,1.68977478751593e-07,"YEAST","1","-1"
"63","sp|Q05911|PUR8_YEAST","conditionB-conditionA",2.30690567722110e-09,-1.13438655848032,1.68977478751593e-07,"YEAST","1","-1"
"64","sp|P05745|RL36A_YEAST","conditionB-conditionA",2.31986244780035e-09,-1.1876355750095,1.68977478751593e-07,"YEAST","1","-1"
"65","sp|P39107|MNN9_YEAST","conditionB-conditionA",2.32956722130574e-09,-1.2879083698913,1.68977478751593e-07,"YEAST","1","-1"
"66","sp|Q12118|SGT2_YEAST","conditionB-conditionA",2.33141681656131e-09,-1.14770068356454,1.68977478751593e-07,"YEAST","1","-1"
"67","sp|Q12074|SPEE_YEAST","conditionB-conditionA",2.34998676674129e-09,-1.121852763695,1.68977478751593e-07,"YEAST","1","-1"
"68","sp|P53834|HCH1_YEAST","conditionB-conditionA",2.38441767356367e-09,-1.08331671256886,1.68977478751593e-07,"YEAST","1","-1"
"69","sp|P0CX38|RS6B_YEAST;sp|P0CX37|RS6A_YEAST","conditionB-conditionA",2.40833998476895e-09,-1.13260977890102,1.68977478751593e-07,"YEAST","1","-1"
"70","sp|P15646|FBRL_YEAST","conditionB-conditionA",2.41729576927806e-09,-1.11384251586955,1.68977478751593e-07,"YEAST","1","-1"
"71","sp|P15454|KGUA_YEAST","conditionB-conditionA",2.41778204013763e-09,-1.13087508841916,1.68977478751593e-07,"YEAST","1","-1"
"72","sp|P28707|SBA1_YEAST","conditionB-conditionA",2.4523798912556e-09,-1.14251880604406,1.68977478751593e-07,"YEAST","1","-1"
"73","sp|P0CT04|IPB2_YEAST","conditionB-conditionA",2.45997566483242e-09,-1.15204413937492,1.68977478751593e-07,"YEAST","1","-1"
"74","sp|P23301|IF5A1_YEAST","conditionB-conditionA",2.49198522401116e-09,-1.1459011528643,1.68977478751593e-07,"YEAST","1","-1"
"75","sp|P07264|LEUC_YEAST","conditionB-conditionA",2.52109630871728e-09,-1.10942848734951,1.68977478751593e-07,"YEAST","1","-1"
"76","sp|P0CX85|RL35B_YEAST;sp|P0CX84|RL35A_YEAST","conditionB-conditionA",2.52335997997664e-09,-1.10437728960436,1.68977478751593e-07,"YEAST","1","-1"
"77","sp|P38788|SSZ1_YEAST","conditionB-conditionA",2.54797959062573e-09,-1.1225259232788,1.68977478751593e-07,"YEAST","1","-1"
"78","sp|P15180|SYKC_YEAST","conditionB-conditionA",2.56167442715533e-09,-1.09430267969716,1.68977478751593e-07,"YEAST","1","-1"
"79","sp|P38934|BFR1_YEAST","conditionB-conditionA",2.56447091224772e-09,-1.11921498294024,1.68977478751593e-07,"YEAST","1","-1"
"80","sp|P05453|ERF3_YEAST","conditionB-conditionA",2.57789494388528e-09,-1.09537405272446,1.68977478751593e-07,"YEAST","1","-1"
"81","sp|P34760|TSA1_YEAST;sp|Q04120|TSA2_YEAST","conditionB-conditionA",2.62391610405837e-09,-1.15110836497034,1.68977478751593e-07,"YEAST","1","-1"
"82","sp|Q08179|MDM38_YEAST","conditionB-conditionA",2.63172474487475e-09,-1.10840642243141,1.68977478751593e-07,"YEAST","1","-1"
"83","sp|P38912|IF1A_YEAST","conditionB-conditionA",2.64718527707992e-09,-1.26476662651198,1.68977478751593e-07,"YEAST","1","-1"
"84","sp|P32473|ODPB_YEAST","conditionB-conditionA",2.64752980406655e-09,-1.11311659467778,1.68977478751593e-07,"YEAST","1","-1"
"85","sp|P06102|NOT3_YEAST","conditionB-conditionA",2.65529178283296e-09,-1.09032532908167,1.68977478751593e-07,"YEAST","1","-1"
"86","sp|P07259|PYR1_YEAST","conditionB-conditionA",2.67006775376965e-09,-1.11196967343769,1.68977478751593e-07,"YEAST","1","-1"
"87","sp|P33442|RS3A1_YEAST","conditionB-conditionA",2.6703889642011e-09,-1.1581056596907,1.68977478751593e-07,"YEAST","1","-1"
"88","sp|Q08193|GAS5_YEAST","conditionB-conditionA",2.67221177922157e-09,-1.14635111048281,1.68977478751593e-07,"YEAST","1","-1"
"89","sp|P39522|ILV3_YEAST","conditionB-conditionA",2.67982359402749e-09,-1.12580721970344,1.68977478751593e-07,"YEAST","1","-1"
"90","sp|P07284|SYSC_YEAST","conditionB-conditionA",2.7118342975264e-09,-1.13153108354452,1.68977478751593e-07,"YEAST","1","-1"
"91","sp|P15625|SYFA_YEAST","conditionB-conditionA",2.71752741667289e-09,-1.12002754324417,1.68977478751593e-07,"YEAST","1","-1"
"92","sp|P35844|KES1_YEAST","conditionB-conditionA",2.73320520471643e-09,-1.14261877623484,1.68977478751593e-07,"YEAST","1","-1"
"93","sp|P04840|VDAC1_YEAST","conditionB-conditionA",2.74286664790377e-09,-1.09658240173941,1.68977478751593e-07,"YEAST","1","-1"
"94","sp|P12709|G6PI_YEAST","conditionB-conditionA",2.75290267675839e-09,-1.16532210167581,1.68977478751593e-07,"YEAST","1","-1"
"95","sp|P48164|RS7B_YEAST","conditionB-conditionA",2.78122678626839e-09,-1.13757242662141,1.68977478751593e-07,"YEAST","1","-1"
"96","sp|P06168|ILV5_YEAST","conditionB-conditionA",2.80901231214913e-09,-1.15971487791071,1.68977478751593e-07,"YEAST","1","-1"
"97","sp|P26321|RL5_YEAST","conditionB-conditionA",2.8108782608563e-09,-1.2281907734677,1.68977478751593e-07,"YEAST","1","-1"
"98","sp|P00431|CCPR_YEAST","conditionB-conditionA",2.82245436661405e-09,-1.11299924820127,1.68977478751593e-07,"YEAST","1","-1"
"99","sp|Q02969|PEX25_YEAST","conditionB-conditionA",2.8271579063008e-09,-1.18429362308336,1.68977478751593e-07,"YEAST","1","-1"
"100","sp|P15496|IDI1_YEAST","conditionB-conditionA",2.83004579108029e-09,-1.19111218994984,1.68977478751593e-07,"YEAST","1","-1"
"101","sp|P16862|PFKA2_YEAST","conditionB-conditionA",2.83165607059041e-09,-1.1141941661493,1.68977478751593e-07,"YEAST","1","-1"
"102","sp|P04456|RL25_YEAST","conditionB-conditionA",2.84861814019232e-09,-1.14474698367816,1.68977478751593e-07,"YEAST","1","-1"
"103","sp|P53011|SEH1_YEAST","conditionB-conditionA",2.85224850121424e-09,-1.15486399235107,1.68977478751593e-07,"YEAST","1","-1"
"104","sp|P32496|RPN12_YEAST","conditionB-conditionA",2.85274891381222e-09,-1.08695324176271,1.68977478751593e-07,"YEAST","1","-1"
"105","sp|P19882|HSP60_YEAST","conditionB-conditionA",2.85678653653384e-09,-1.07823408949759,1.68977478751593e-07,"YEAST","1","-1"
"106","sp|P38910|CH10_YEAST","conditionB-conditionA",2.87637773296785e-09,-1.11206179624846,1.68977478751593e-07,"YEAST","1","-1"
"107","sp|P21801|SDHB_YEAST","conditionB-conditionA",2.89591058314176e-09,-1.12160163155167,1.68977478751593e-07,"YEAST","1","-1"
"108","sp|P41807|VATH_YEAST","conditionB-conditionA",2.90981486111276e-09,-1.14305292468839,1.68977478751593e-07,"YEAST","1","-1"
"109","sp|P40037|HMF1_YEAST","conditionB-conditionA",2.91464886434366e-09,-1.15984822458097,1.68977478751593e-07,"YEAST","1","-1"
"110","sp|P02557|TBB_YEAST","conditionB-conditionA",2.9398067315117e-09,-1.12335311518959,1.68977478751593e-07,"YEAST","1","-1"
"111","sp|P26637|SYLC_YEAST","conditionB-conditionA",2.94009574944585e-09,-1.11112345091974,1.68977478751593e-07,"YEAST","1","-1"
"112","sp|P23248|RS3A2_YEAST","conditionB-conditionA",2.95543639767104e-09,-1.17688672544532,1.68977478751593e-07,"YEAST","1","-1"
"113","sp|P07245|C1TC_YEAST","conditionB-conditionA",2.97376616485382e-09,-1.08472506151194,1.68977478751593e-07,"YEAST","1","-1"
"114","sp|P06208|LEU1_YEAST","conditionB-conditionA",2.97889436207131e-09,-1.09954489258155,1.68977478751593e-07,"YEAST","1","-1"
"115","sp|P28241|IDH2_YEAST","conditionB-conditionA",3.0420191964306e-09,-1.17056651864752,1.68977478751593e-07,"YEAST","1","-1"
"116","sp|P32614|FRDS_YEAST","conditionB-conditionA",3.04871576837677e-09,-1.10011439679078,1.68977478751593e-07,"YEAST","1","-1"
"117","sp|P20051|PYRC_YEAST","conditionB-conditionA",3.04988574407075e-09,-1.13000957765096,1.68977478751593e-07,"YEAST","1","-1"
"118","sp|P40422|RPAB4_YEAST","conditionB-conditionA",3.07600689637749e-09,-1.09973499477605,1.68977478751593e-07,"YEAST","1","-1"
"119","sp|P31116|DHOM_YEAST","conditionB-conditionA",3.08480969528463e-09,-1.10881819790573,1.68977478751593e-07,"YEAST","1","-1"
"120","sp|Q08245|ZEO1_YEAST","conditionB-conditionA",3.08918163989031e-09,-1.16694907483644,1.68977478751593e-07,"YEAST","1","-1"
"121","sp|P32582|CBS_YEAST","conditionB-conditionA",3.09161963326936e-09,-1.10195329027671,1.68977478751593e-07,"YEAST","1","-1"
"122","sp|P17967|PDI_YEAST","conditionB-conditionA",3.09250180874789e-09,-1.10176048172845,1.68977478751593e-07,"YEAST","1","-1"
"123","sp|P38626|NCB5R_YEAST","conditionB-conditionA",3.09430084974154e-09,-1.13502036546022,1.68977478751593e-07,"YEAST","1","-1"
"124","sp|P53303|ZPR1_YEAST","conditionB-conditionA",3.0953391229271e-09,-1.15423921770302,1.68977478751593e-07,"YEAST","1","-1"
"125","sp|Q12754|RRP12_YEAST","conditionB-conditionA",3.09745657725594e-09,-1.1771485339087,1.68977478751593e-07,"YEAST","1","-1"
"126","sp|P41940|MPG1_YEAST","conditionB-conditionA",3.09788059454693e-09,-1.09323610817453,1.68977478751593e-07,"YEAST","1","-1"
"127","sp|P00360|G3P1_YEAST","conditionB-conditionA",3.10368521450235e-09,-1.1583699560322,1.68977478751593e-07,"YEAST","1","-1"
"128","sp|P53912|YNN4_YEAST","conditionB-conditionA",3.10580076102094e-09,-1.09538658475879,1.68977478751593e-07,"YEAST","1","-1"
"129","sp|P53261|PESC_YEAST","conditionB-conditionA",3.13460582364477e-09,-1.04983874778729,1.68977478751593e-07,"YEAST","1","-1"
"130","sp|P38009|PUR92_YEAST","conditionB-conditionA",3.16518964703125e-09,-1.12035641689445,1.68977478751593e-07,"YEAST","1","-1"
"131","sp|P32598|PP12_YEAST","conditionB-conditionA",3.17628510870905e-09,-1.13656572958,1.68977478751593e-07,"YEAST","1","-1"
"132","sp|P23201|SPA2_YEAST","conditionB-conditionA",3.20794696796076e-09,-1.12856292864955,1.68977478751593e-07,"YEAST","1","-1"
"133","sp|Q12672|RL21B_YEAST;sp|Q02753|RL21A_YEAST","conditionB-conditionA",3.22604618246206e-09,-1.04122529127049,1.68977478751593e-07,"YEAST","1","-1"
"134","sp|P00498|HIS1_YEAST","conditionB-conditionA",3.24234651640626e-09,-1.08631602648968,1.68977478751593e-07,"YEAST","1","-1"
"135","sp|P34227|PRX1_YEAST","conditionB-conditionA",3.2545675377754e-09,-1.10833817568831,1.68977478751593e-07,"YEAST","1","-1"
"136","sp|Q01477|UBP3_YEAST","conditionB-conditionA",3.27128006661963e-09,-1.09745039190449,1.68977478751593e-07,"YEAST","1","-1"
"137","sp|P33333|PLSC_YEAST","conditionB-conditionA",3.27574635466977e-09,-1.10389623041076,1.68977478751593e-07,"YEAST","1","-1"
"138","sp|Q3E757|RL11B_YEAST;sp|P0C0W9|RL11A_YEAST","conditionB-conditionA",3.28720249434695e-09,-1.19715535269123,1.68977478751593e-07,"YEAST","1","-1"
"139","sp|P09734|TBA3_YEAST","conditionB-conditionA",3.29109188789611e-09,-1.14609982415994,1.68977478751593e-07,"YEAST","1","-1"
"140","sp|P0CS90|HSP77_YEAST;sp|P39987|HSP7E_YEAST","conditionB-conditionA",3.30454532988265e-09,-1.10326687334477,1.68977478751593e-07,"YEAST","1","-1"
"141","sp|P20081|FKBP_YEAST","conditionB-conditionA",3.30584852008862e-09,-1.12061254473603,1.68977478751593e-07,"YEAST","1","-1"
"142","sp|P38911|FKBP3_YEAST","conditionB-conditionA",3.35935884573494e-09,-1.1209944216205,1.68977478751593e-07,"YEAST","1","-1"
"143","sp|P38879|NACA_YEAST","conditionB-conditionA",3.36120462749225e-09,-1.16543081464393,1.68977478751593e-07,"YEAST","1","-1"
"144","sp|P29547|EF1G1_YEAST","conditionB-conditionA",3.36908491545502e-09,-1.12012155343058,1.68977478751593e-07,"YEAST","1","-1"
"145","sp|P32449|AROG_YEAST","conditionB-conditionA",3.41191075326427e-09,-1.10312375973596,1.68977478751593e-07,"YEAST","1","-1"
"146","sp|P01123|YPT1_YEAST","conditionB-conditionA",3.41799201719315e-09,-1.25883285294283,1.68977478751593e-07,"YEAST","1","-1"
"147","sp|P38077|ATPG_YEAST","conditionB-conditionA",3.42929231384838e-09,-1.10979214102514,1.68977478751593e-07,"YEAST","1","-1"
