"idx" "metrics" "performance" "type"
191 "pAUC(0.01)" 0.6671791 "mean"
192 "pAUC(0.01)" 0.68567015 "mean"
193 "pAUC(0.01)" 0.685222309090909 "mean"
194 "pAUC(0.01)" 0.632691413636364 "mean"
195 "pAUC(0.01)" 0.685111890909091 "mean"
196 "pAUC(0.01)" 0.710722031818182 "mean"
197 "pAUC(0.01)" 0.698100977272727 "mean"
198 "pAUC(0.01)" 0.689614104545455 "mean"
199 "pAUC(0.01)" 0.690597045454545 "mean"
200 "pAUC(0.01)" 0.640526554545455 "mean"
201 "pAUC(0.01)" 0.650846090909091 "mean"
202 "pAUC(0.01)" 0.657279218181818 "mean"
203 "pAUC(0.01)" 0.665690131818182 "mean"
204 "pAUC(0.01)" 0.652234036363636 "mean"
205 "pAUC(0.01)" 0.707870631818182 "mean"
206 "pAUC(0.01)" 0.712469018181818 "mean"
207 "pAUC(0.01)" 0.666707059090909 "mean"
208 "pAUC(0.01)" 0.705544540909091 "mean"
209 "pAUC(0.01)" 0.689647490909091 "mean"
210 "pAUC(0.01)" 0.696760277272727 "mean"
211 "pAUC(0.01)" 0.679630040909091 "mean"
212 "pAUC(0.01)" 0.641557795454545 "mean"
213 "pAUC(0.01)" 0.691592268181818 "mean"
214 "pAUC(0.01)" 0.630876863636364 "mean"
215 "pAUC(0.01)" 0.694736390909091 "mean"
216 "pAUC(0.01)" 0.655951540909091 "mean"
217 "pAUC(0.01)" 0.631985654545455 "mean"
218 "pAUC(0.01)" 0.668756704545455 "mean"
219 "pAUC(0.01)" 0.669004790909091 "mean"
220 "pAUC(0.01)" 0.692277631818182 "mean"
221 "pAUC(0.01)" 0.699840331818182 "mean"
222 "pAUC(0.01)" 0.702363313636364 "mean"
223 "pAUC(0.01)" 0.713209313636364 "mean"
224 "pAUC(0.01)" 0.710796036363636 "mean"
225 "pAUC(0.01)" 0.701209859090909 "mean"
226 "pAUC(0.01)" 0.642530604545455 "mean"
227 "pAUC(0.01)" 0.670230090909091 "mean"
228 "pAUC(0.01)" 0.650180822727273 "mean"
229 "pAUC(0.01)" 0.686642363636364 "mean"
230 "pAUC(0.01)" 0.669214718181818 "mean"
231 "pAUC(0.01)" 0.684595581818182 "mean"
232 "pAUC(0.01)" 0.6292194 "mean"
233 "pAUC(0.01)" 0.708969577272727 "mean"
234 "pAUC(0.01)" 0.694199536363636 "mean"
235 "pAUC(0.01)" 0.654157377272727 "mean"
