DEA,expression_type,MVI,Normalization,label
proDA,abd,QRILC,Rlr,2.0
ROTS,abd,MLE,lossf,2.0
limma,abd,zero,Rlr,2.0
proDA,abd,MinProb,Rlr,2.0
DEP,abd,zero,No_norm,2.0
DEP,ratio,zero,No_norm,2.0
proDA,abd,MinDet,Rlr,2.0
DEP,ratio,zero,center.median,2.0
DEP,ratio,MLE,No_norm,2.0
proDA,abd,nbavg,Rlr,2.0
DEP,abd,mice,No_norm,2.0
proDA,abd,min,Rlr,2.0
DEP,abd,knn,No_norm,2.0
DEP,abd,MLE,No_norm,2.0
proDA,ratio,GMS,No_norm,2.0
DEP,ratio,QRILC,No_norm,2.0
DEP,ratio,QRILC,center.median,2.0
proDA,ratio,bpca,No_norm,2.0
proDA,ratio,SeqKNN,No_norm,2.0
proDA,ratio,Impseq,No_norm,2.0
DEP,ratio,MinProb,center.median,2.0
DEP,ratio,MinProb,No_norm,2.0
ROTS,abd,knn,lossf,2.0
proDA,ratio,Impseqrob,No_norm,2.0
proDA,ratio,mice,No_norm,2.0
DEP,ratio,MLE,center.median,2.0
proDA,ratio,missForest,No_norm,2.0
proDA,ratio,knn,No_norm,2.0
proDA,phi,GMS,Rlr,2.0
proDA,phi,SeqKNN,Rlr,2.0
proDA,phi,Impseqrob,Rlr,2.0
DEP,ratio,MinDet,No_norm,2.0
DEP,ratio,MinDet,center.median,2.0
proDA,phi,Impseq,Rlr,2.0
DEP,abd,QRILC,No_norm,2.0
proDA,phi,bpca,Rlr,2.0
limma,phi,GMS,Rlr,2.0
limma,phi,Impseqrob,Rlr,2.0
limma,phi,SeqKNN,Rlr,2.0
proDA,phi,missForest,Rlr,2.0
limma,phi,Impseq,Rlr,2.0
proDA,phi,No_MVI,Rlr,2.0
limma,phi,bpca,Rlr,2.0
DEP,abd,missForest,Rlr,2.0
DEP,abd,MinProb,No_norm,2.0
limma,phi,missForest,Rlr,2.0
proDA,ratio,MLE,No_norm,2.0
ROTS,abd,MinProb,lossf,2.0
proDA,phi,mice,Rlr,2.0
proDA,phi,MLE,Rlr,2.0
proDA,ratio,QRILC,No_norm,2.0
proDA,ratio,No_MVI,No_norm,2.0
DEP,abd,MinDet,No_norm,2.0
proDA,phi,zero,Rlr,2.0
proDA,ratio,No_MVI,center.median,2.0
proDA,ratio,zero,No_norm,2.0
proDA,ratio,MinProb,No_norm,2.0
limma,phi,No_MVI,Rlr,2.0
proDA,phi,QRILC,Rlr,2.0
DEP,abd,Impseqrob,Rlr,2.0
DEP,abd,Impseq,Rlr,2.0
DEP,abd,GMS,Rlr,2.0
DEP,abd,bpca,Rlr,2.0
proDA,phi,MinProb,Rlr,2.0
limma,phi,QRILC,Rlr,2.0
DEP,abd,SeqKNN,Rlr,2.0
proDA,ratio,MinDet,No_norm,2.0
limma,phi,mice,Rlr,2.0
limma,phi,MinProb,Rlr,2.0
ROTS,abd,QRILC,lossf,2.0
DEP,abd,MLE,Rlr,2.0
limma,phi,MLE,Rlr,2.0
DEP,abd,QRILC,Rlr,2.0
ROTS,abd,MinDet,lossf,2.0
DEP,abd,mice,Rlr,2.0
proDA,phi,MinDet,Rlr,2.0
limma,phi,MinDet,Rlr,2.0
DEP,abd,No_MVI,Rlr,2.0
ROTS,abd,min,lossf,2.0
DEP,abd,MinProb,Rlr,2.0
limma,phi,nbavg,Rlr,2.0
ROTS,abd,zero,lossf,2.0
DEP,abd,min,No_norm,2.0
limma,phi,min,Rlr,2.0
proDA,phi,knn,Rlr,2.0
DEP,abd,MinDet,Rlr,2.0
DEP,abd,nbavg,No_norm,2.0
DEP,ratio,min,No_norm,2.0
limma,phi,knn,Rlr,2.0
proDA,phi,nbavg,Rlr,2.0
DEP,ratio,nbavg,center.median,2.0
DEP,ratio,min,center.median,2.0
DEP,ratio,nbavg,No_norm,2.0
proDA,phi,min,Rlr,2.0
limma,phi,zero,Rlr,2.0
DEP,abd,knn,Rlr,2.0
DEP,abd,nbavg,Rlr,2.0
DEP,abd,min,Rlr,2.0
proDA,ratio,GMS,center.median,2.0
proDA,ratio,nbavg,No_norm,2.0
proDA,ratio,SeqKNN,center.median,2.0
proDA,ratio,bpca,center.median,2.0
proDA,ratio,Impseqrob,center.median,2.0
proDA,ratio,Impseq,center.median,2.0
proDA,ratio,mice,center.median,2.0
proDA,ratio,missForest,center.median,2.0
proDA,ratio,knn,center.median,2.0
proDA,ratio,min,No_norm,2.0
ROTS,abd,mice,lossf,2.0
proDA,ratio,zero,center.median,2.0
DEP,phi,SeqKNN,Rlr,2.0
DEP,phi,Impseqrob,Rlr,2.0
DEP,phi,GMS,Rlr,2.0
ROTS,abd,Impseqrob,lossf,2.0
ROTS,abd,missForest,lossf,2.0
DEP,phi,Impseq,Rlr,2.0
DEP,phi,bpca,Rlr,2.0
ROTS,abd,SeqKNN,lossf,2.0
ROTS,abd,bpca,lossf,2.0
ROTS,abd,No_MVI,lossf,2.0
DEP,phi,No_MVI,Rlr,2.0
DEP,phi,missForest,Rlr,2.0
ROTS,abd,Impseq,lossf,2.0
ROTS,abd,GMS,lossf,2.0
proDA,ratio,QRILC,center.median,2.0
DEP,phi,mice,Rlr,2.0
proDA,ratio,MLE,center.median,2.0
DEP,phi,MLE,Rlr,2.0
DEP,phi,QRILC,Rlr,2.0
DEP,phi,MinProb,Rlr,2.0
proDA,ratio,MinProb,center.median,2.0
DEP,phi,MinDet,Rlr,2.0
DEP,phi,knn,Rlr,2.0
DEP,phi,nbavg,Rlr,2.0
DEP,phi,min,Rlr,2.0
proDA,ratio,MinDet,center.median,2.0
ROTS,abd,nbavg,lossf,2.0
