"abd","phi","ratio"
"limma|FragPipe||MLE|center.mean_nMcc_D.E_HYms2815_TMT16",0.560540996900159,0.570762171440482,0.560540996900159
"limma|FragPipe||MLE|center.median_nMcc_B.A_HEqe277_TMT10",0.554098208920702,0.597037301332018,0.61430465285135
"limma|FragPipe||MLE|center.median_nMcc_C.A_HEqe277_TMT10",0.940204898426755,0.92362382889449,0.964132212720488
"limma|FragPipe||MLE|center.median_nMcc_C.B_HEqe277_TMT10",0.898983101170512,0.896600977018046,0.94569932037856
"limma|FragPipe||MLE|center.median_nMcc_B.A_HYqfl683_TMT11",0.939061652507855,0.92335263359076,0.956648218145111
"limma|FragPipe||MLE|center.median_nMcc_C.A_HYqfl683_TMT11",0.957370319309166,0.941926689754215,0.966043480770021
"limma|FragPipe||MLE|center.median_nMcc_C.B_HYqfl683_TMT11",0.546017466375447,0.547374051930052,0.600007933275231
"limma|FragPipe||MLE|center.median_nMcc_A.B_HYms2faims815_TMT16",0.77950139040716,0.779421944438018,0.93203689934965
"limma|FragPipe||MLE|center.median_nMcc_B.D_HYms2faims815_TMT16",0.849589703959287,0.877741106972257,0.954955362643511
"limma|FragPipe||MLE|center.median_nMcc_C.E_HYms2faims815_TMT16",0.862173835369884,0.848973078575656,0.929253491364056
"limma|FragPipe||MLE|center.median_nMcc_B.C_HYsps2815_TMT16",0.860799784016914,0.783746365122027,0.947868426333347
"limma|FragPipe||MLE|center.median_nMcc_B.E_HYsps2815_TMT16",0.867610948703607,0.868898442676588,0.921107306353148
"limma|FragPipe||MLE|center.median_nMcc_A.C_HYsps2815_TMT16",0.60276563767019,0.693309450976093,0.948962627984832
"limma|FragPipe||MLE|center.median_nMcc_A.D_HYms2815_TMT16",0.768871657867942,0.73467667522809,0.931538607965165
"limma|FragPipe||MLE|center.median_nMcc_A.E_HYms2815_TMT16",0.683626741630481,0.671204236770114,0.928859699651722
"limma|FragPipe||MLE|center.median_nMcc_D.E_HYms2815_TMT16",0.557518714758097,0.571393100174397,0.580460066113816
"limma|FragPipe||MLE|div.mean_nMcc_B.A_HEqe277_TMT10",0.5,0.5,0.5
"limma|FragPipe||MLE|div.mean_nMcc_C.A_HEqe277_TMT10",0.5,0.5,0.5
"limma|FragPipe||MLE|div.mean_nMcc_C.B_HEqe277_TMT10",0.5,0.5,0.5
"limma|FragPipe||MLE|div.mean_nMcc_B.A_HYqfl683_TMT11",0.5,0.5,0.5
"limma|FragPipe||MLE|div.mean_nMcc_C.A_HYqfl683_TMT11",0.5,0.5,0.5
"limma|FragPipe||MLE|div.mean_nMcc_C.B_HYqfl683_TMT11",0.5,0.5,0.5
"limma|FragPipe||MLE|div.mean_nMcc_A.B_HYms2faims815_TMT16",0.5,0.5,0.5
"limma|FragPipe||MLE|div.mean_nMcc_B.D_HYms2faims815_TMT16",0.5,0.5,0.5
"limma|FragPipe||MLE|div.mean_nMcc_C.E_HYms2faims815_TMT16",0.5,0.5,0.5
"limma|FragPipe||MLE|div.mean_nMcc_B.C_HYsps2815_TMT16",0.5,0.5,0.567234309700421
"limma|FragPipe||MLE|div.mean_nMcc_B.E_HYsps2815_TMT16",0.5,0.5,0.544201764483989
"limma|FragPipe||MLE|div.mean_nMcc_A.C_HYsps2815_TMT16",0.5,0.5,0.523217158605944
"limma|FragPipe||MLE|div.mean_nMcc_A.D_HYms2815_TMT16",0.5,0.5,0.587695650256689
"limma|FragPipe||MLE|div.mean_nMcc_A.E_HYms2815_TMT16",0.5,0.5,0.636801493160846
"limma|FragPipe||MLE|div.mean_nMcc_D.E_HYms2815_TMT16",0.5,0.5,0.5
"limma|FragPipe||MLE|div.median_nMcc_B.A_HEqe277_TMT10",0.5,0.5,0.5
"limma|FragPipe||MLE|div.median_nMcc_C.A_HEqe277_TMT10",0.5,0.5,0.5
"limma|FragPipe||MLE|div.median_nMcc_C.B_HEqe277_TMT10",0.5,0.5,0.5
"limma|FragPipe||MLE|div.median_nMcc_B.A_HYqfl683_TMT11",0.5,0.5,0.5
"limma|FragPipe||MLE|div.median_nMcc_C.A_HYqfl683_TMT11",0.5,0.5,0.5
"limma|FragPipe||MLE|div.median_nMcc_C.B_HYqfl683_TMT11",0.5,0.5,0.5
"limma|FragPipe||MLE|div.median_nMcc_A.B_HYms2faims815_TMT16",0.5,0.5,0.5
"limma|FragPipe||MLE|div.median_nMcc_B.D_HYms2faims815_TMT16",0.5,0.5,0.5
"limma|FragPipe||MLE|div.median_nMcc_C.E_HYms2faims815_TMT16",0.5,0.5,0.5
"limma|FragPipe||MLE|div.median_nMcc_B.C_HYsps2815_TMT16",0.5,0.5,0.5
"limma|FragPipe||MLE|div.median_nMcc_B.E_HYsps2815_TMT16",0.5,0.5,0.5
"limma|FragPipe||MLE|div.median_nMcc_A.C_HYsps2815_TMT16",0.5,0.5,0.5
"limma|FragPipe||MLE|div.median_nMcc_A.D_HYms2815_TMT16",0.5,0.5,0.5
"limma|FragPipe||MLE|div.median_nMcc_A.E_HYms2815_TMT16",0.5,0.5,0.5
"limma|FragPipe||MLE|div.median_nMcc_D.E_HYms2815_TMT16",0.5,0.5,0.5
"limma|FragPipe||MLE|quantiles_nMcc_B.A_HEqe277_TMT10",0.555011090721094,0.596067950019534,0.5
"limma|FragPipe||MLE|quantiles_nMcc_C.A_HEqe277_TMT10",0.939146961317575,0.906337451845523,0.783789170471325
"limma|FragPipe||MLE|quantiles_nMcc_C.B_HEqe277_TMT10",0.876547284690147,0.88535216875168,0.727465346640287
"limma|FragPipe||MLE|quantiles_nMcc_B.A_HYqfl683_TMT11",0.927952363514276,0.910664813669934,0.859681898084163
"limma|FragPipe||MLE|quantiles_nMcc_C.A_HYqfl683_TMT11",0.94327437343949,0.930644344424971,0.870059500090109
"limma|FragPipe||MLE|quantiles_nMcc_C.B_HYqfl683_TMT11",0.527084007633023,0.531349830155076,0.5
"limma|FragPipe||MLE|quantiles_nMcc_A.B_HYms2faims815_TMT16",0.786358370988767,0.777679142680237,0.478849359670316
"limma|FragPipe||MLE|quantiles_nMcc_B.D_HYms2faims815_TMT16",0.840391631543819,0.839095325299045,0.799563353746902
"limma|FragPipe||MLE|quantiles_nMcc_C.E_HYms2faims815_TMT16",0.819200287904202,0.820869629951911,0.5
"limma|FragPipe||MLE|quantiles_nMcc_B.C_HYsps2815_TMT16",0.793979396282784,0.754464092834304,0.786226037597451
"limma|FragPipe||MLE|quantiles_nMcc_B.E_HYsps2815_TMT16",0.854942171947577,0.856475422373268,0.85024384401283
"limma|FragPipe||MLE|quantiles_nMcc_A.C_HYsps2815_TMT16",0.718719892554063,0.660774293255476,0.850423142441572
"limma|FragPipe||MLE|quantiles_nMcc_A.D_HYms2815_TMT16",0.7292405634422,0.696930232015115,0.707832954932708
"limma|FragPipe||MLE|quantiles_nMcc_A.E_HYms2815_TMT16",0.668522252039881,0.640065421029279,0.707304729665116
"limma|FragPipe||MLE|quantiles_nMcc_D.E_HYms2815_TMT16",0.556738655019633,0.565503730238804,0.5
"limma|FragPipe||MLE|quantiles.robust_nMcc_B.A_HEqe277_TMT10",0.555241637752232,0.596624426297919,0.5
"limma|FragPipe||MLE|quantiles.robust_nMcc_C.A_HEqe277_TMT10",0.938851193764696,0.906006738360509,0.784290538058939
"limma|FragPipe||MLE|quantiles.robust_nMcc_C.B_HEqe277_TMT10",0.876406422463068,0.885240801965888,0.72745145653502
"limma|FragPipe||MLE|quantiles.robust_nMcc_B.A_HYqfl683_TMT11",0.926211448020181,0.909069529058418,0.856295415246916
"limma|FragPipe||MLE|quantiles.robust_nMcc_C.A_HYqfl683_TMT11",0.938633323416145,0.929472952729577,0.865426501290928
"limma|FragPipe||MLE|quantiles.robust_nMcc_C.B_HYqfl683_TMT11",0.531850644301973,0.531349830155076,0.5
"limma|FragPipe||MLE|quantiles.robust_nMcc_A.B_HYms2faims815_TMT16",0.788177432549414,0.775878215189103,0.478359321772944
"limma|FragPipe||MLE|quantiles.robust_nMcc_B.D_HYms2faims815_TMT16",0.838720580370681,0.837248019202904,0.812756744513104
"limma|FragPipe||MLE|quantiles.robust_nMcc_C.E_HYms2faims815_TMT16",0.819025923157142,0.821111293954128,0.5
"limma|FragPipe||MLE|quantiles.robust_nMcc_B.C_HYsps2815_TMT16",0.747901027672513,0.706935597484055,0.767501899361025
"limma|FragPipe||MLE|quantiles.robust_nMcc_B.E_HYsps2815_TMT16",0.833511214909441,0.837368898240465,0.812856108043921
"limma|FragPipe||MLE|quantiles.robust_nMcc_A.C_HYsps2815_TMT16",0.670536708489041,0.59267390778595,0.831913114069602
"limma|FragPipe||MLE|quantiles.robust_nMcc_A.D_HYms2815_TMT16",0.729418520805259,0.696491827050509,0.707625728925083
