"abd","phi","ratio"
"limma|FragPipe||MLE|center.mean_geomean_C.A_HYqfl683_TMT11",0.935280561316296,0.906414994731281,0.935280561316296
"limma|FragPipe||MLE|center.mean_geomean_C.B_HYqfl683_TMT11",0.0953983875492903,0.0921635983303836,0.0921635983303836
"limma|FragPipe||MLE|center.mean_geomean_A.B_HYms2faims815_TMT16",0.644084214378439,0.632246266061599,0.644084214378439
"limma|FragPipe||MLE|center.mean_geomean_B.D_HYms2faims815_TMT16",0.87271336197491,0.853419790701308,0.87271336197491
"limma|FragPipe||MLE|center.mean_geomean_C.E_HYms2faims815_TMT16",0.781865038017674,0.768207980080089,0.781865038017674
"limma|FragPipe||MLE|center.mean_geomean_A.C_HYsps2815_TMT16",0.843735328990365,0.798519829876901,0.832662539733059
"limma|FragPipe||MLE|center.mean_geomean_B.C_HYsps2815_TMT16",0.762128448252729,0.772092073943361,0.753516550911937
"limma|FragPipe||MLE|center.mean_geomean_B.E_HYsps2815_TMT16",0.598427703812726,0.593495098001849,0.527959302928086
"limma|FragPipe||MLE|center.mean_geomean_A.D_HYms2815_TMT16",0.738587636429497,0.705655407735524,0.738587636429497
"limma|FragPipe||MLE|center.mean_geomean_A.E_HYms2815_TMT16",0.646382760435517,0.628031973862729,0.646382760435517
"limma|FragPipe||MLE|center.mean_geomean_D.E_HYms2815_TMT16",0.145455561059055,0.168931290153393,0.145455561059055
"limma|FragPipe||MLE|center.median_geomean_B.A_HEqe277_TMT10",0.13286754505962,0.228345195547652,0.264191568008967
"limma|FragPipe||MLE|center.median_geomean_C.A_HEqe277_TMT10",0.928419104243264,0.911017401263848,0.95614526705391
"limma|FragPipe||MLE|center.median_geomean_C.B_HEqe277_TMT10",0.839977250196693,0.840798704672482,0.918345434411533
"limma|FragPipe||MLE|center.median_geomean_B.A_HYqfl683_TMT11",0.903003734381824,0.874573546196942,0.93142977602539
"limma|FragPipe||MLE|center.median_geomean_C.A_HYqfl683_TMT11",0.936740372790073,0.909126982389474,0.949636391711964
"limma|FragPipe||MLE|center.median_geomean_C.B_HYqfl683_TMT11",0.104503697620733,0.107367342829213,0.22167255109904
"limma|FragPipe||MLE|center.median_geomean_A.B_HYms2faims815_TMT16",0.632304427716298,0.632599377659115,0.903887437736919
"limma|FragPipe||MLE|center.median_geomean_B.D_HYms2faims815_TMT16",0.840981615088948,0.851524453771591,0.944230885939268
"limma|FragPipe||MLE|center.median_geomean_C.E_HYms2faims815_TMT16",0.788746586336502,0.766033258131477,0.9005099077277
"limma|FragPipe||MLE|center.median_geomean_A.C_HYsps2815_TMT16",0.885988279333302,0.812093952074781,0.956257027845823
"limma|FragPipe||MLE|center.median_geomean_B.C_HYsps2815_TMT16",0.793297988264953,0.798342302838372,0.885858215542579
"limma|FragPipe||MLE|center.median_geomean_B.E_HYsps2815_TMT16",0.544791854502399,0.702747366822165,0.949163551091054
"limma|FragPipe||MLE|center.median_geomean_A.D_HYms2815_TMT16",0.791876178416248,0.756972956554675,0.929363055720662
"limma|FragPipe||MLE|center.median_geomean_A.E_HYms2815_TMT16",0.692794302587351,0.677494436731311,0.929446608067557
"limma|FragPipe||MLE|center.median_geomean_D.E_HYms2815_TMT16",0.138525078703106,0.170381370742859,0.193357420603282
"limma|FragPipe||MLE|div.mean_geomean_B.A_HEqe277_TMT10",0,0,0
"limma|FragPipe||MLE|div.mean_geomean_C.A_HEqe277_TMT10",0,0,0
"limma|FragPipe||MLE|div.mean_geomean_C.B_HEqe277_TMT10",0,0,0
"limma|FragPipe||MLE|div.mean_geomean_B.A_HYqfl683_TMT11",0,0,0
"limma|FragPipe||MLE|div.mean_geomean_C.A_HYqfl683_TMT11",0,0,0
"limma|FragPipe||MLE|div.mean_geomean_C.B_HYqfl683_TMT11",0,0,0
"limma|FragPipe||MLE|div.mean_geomean_A.B_HYms2faims815_TMT16",0,0,0
"limma|FragPipe||MLE|div.mean_geomean_B.D_HYms2faims815_TMT16",0,0,0
"limma|FragPipe||MLE|div.mean_geomean_C.E_HYms2faims815_TMT16",0,0,0
"limma|FragPipe||MLE|div.mean_geomean_A.C_HYsps2815_TMT16",0,0,0.169665509011798
"limma|FragPipe||MLE|div.mean_geomean_B.C_HYsps2815_TMT16",0,0,0.108558401503785
"limma|FragPipe||MLE|div.mean_geomean_B.E_HYsps2815_TMT16",0,0,0.0626762223310055
"limma|FragPipe||MLE|div.mean_geomean_A.D_HYms2815_TMT16",0,0,0.293698118501733
"limma|FragPipe||MLE|div.mean_geomean_A.E_HYms2815_TMT16",0,0,0.59238873685005
"limma|FragPipe||MLE|div.mean_geomean_D.E_HYms2815_TMT16",0,0,0
"limma|FragPipe||MLE|div.median_geomean_B.A_HEqe277_TMT10",0,0,0
"limma|FragPipe||MLE|div.median_geomean_C.A_HEqe277_TMT10",0,0,0
"limma|FragPipe||MLE|div.median_geomean_C.B_HEqe277_TMT10",0,0,0
"limma|FragPipe||MLE|div.median_geomean_B.A_HYqfl683_TMT11",0,0,0
"limma|FragPipe||MLE|div.median_geomean_C.A_HYqfl683_TMT11",0,0,0
"limma|FragPipe||MLE|div.median_geomean_C.B_HYqfl683_TMT11",0,0,0
"limma|FragPipe||MLE|div.median_geomean_A.B_HYms2faims815_TMT16",0,0,0
"limma|FragPipe||MLE|div.median_geomean_B.D_HYms2faims815_TMT16",0,0,0
"limma|FragPipe||MLE|div.median_geomean_C.E_HYms2faims815_TMT16",0,0,0
"limma|FragPipe||MLE|div.median_geomean_A.C_HYsps2815_TMT16",0,0,0
"limma|FragPipe||MLE|div.median_geomean_B.C_HYsps2815_TMT16",0,0,0
"limma|FragPipe||MLE|div.median_geomean_B.E_HYsps2815_TMT16",0,0,0
"limma|FragPipe||MLE|div.median_geomean_A.D_HYms2815_TMT16",0,0,0
"limma|FragPipe||MLE|div.median_geomean_A.E_HYms2815_TMT16",0,0,0
"limma|FragPipe||MLE|div.median_geomean_D.E_HYms2815_TMT16",0,0,0
"limma|FragPipe||MLE|quantiles_geomean_B.A_HEqe277_TMT10",0.132874923925316,0.227452612015113,0
"limma|FragPipe||MLE|quantiles_geomean_C.A_HEqe277_TMT10",0.927198658726063,0.900661214732377,0.670442488858026
"limma|FragPipe||MLE|quantiles_geomean_C.B_HEqe277_TMT10",0.801365184978315,0.82117125585128,0.530448118590409
