"abd","phi","ratio"
"limma|FragPipe||MLE|sum_pauc005_B.E_HYsps2815_TMT16",0.903312809263368,0.896790599166243,0.766818214924088
"limma|FragPipe||MLE|sum_pauc005_A.D_HYms2815_TMT16",0.852836166255151,0.848160315875327,0.574758590122148
"limma|FragPipe||MLE|sum_pauc005_A.E_HYms2815_TMT16",0.854766948717753,0.64379935423594,0.602934573407014
"limma|FragPipe||MLE|sum_pauc005_D.E_HYms2815_TMT16",0.736512111476143,0.776225659632296,0.529057407079431
"limma|FragPipe||MLE|max_pauc005_B.A_HEqe277_TMT10",0.906018811228187,0.885137846614438,0.774763452751991
"limma|FragPipe||MLE|max_pauc005_C.A_HEqe277_TMT10",0.947240315168765,0.918639012820339,0.899186051888177
"limma|FragPipe||MLE|max_pauc005_C.B_HEqe277_TMT10",0.945366191176151,0.752111061130815,0.861129752402633
"limma|FragPipe||MLE|max_pauc005_B.A_HYqfl683_TMT11",0.952767502030196,0.915116142391247,0.933400008372555
"limma|FragPipe||MLE|max_pauc005_C.A_HYqfl683_TMT11",0.956753032109048,0.933361832797088,0.94710336396467
"limma|FragPipe||MLE|max_pauc005_C.B_HYqfl683_TMT11",0.909187300937652,0.903628273732508,0.789763381451691
"limma|FragPipe||MLE|max_pauc005_A.B_HYms2faims815_TMT16",0.91303075430238,0.90863264450347,0.820417764971998
"limma|FragPipe||MLE|max_pauc005_B.D_HYms2faims815_TMT16",0.913975831247978,0.900847496254923,0.851331617040561
"limma|FragPipe||MLE|max_pauc005_C.E_HYms2faims815_TMT16",0.91054774647064,0.912109529740231,0.883427839342212
"limma|FragPipe||MLE|max_pauc005_A.C_HYsps2815_TMT16",0.900939298386476,0.908584393403659,0.846745189288008
"limma|FragPipe||MLE|max_pauc005_B.C_HYsps2815_TMT16",0.897627508991063,0.896908502082848,0.656881806266501
"limma|FragPipe||MLE|max_pauc005_B.E_HYsps2815_TMT16",0.904099858877059,0.898491203226821,0.885397746957162
"limma|FragPipe||MLE|max_pauc005_A.D_HYms2815_TMT16",0.852881607927686,0.835480867687726,0.747075559631299
"limma|FragPipe||MLE|max_pauc005_A.E_HYms2815_TMT16",0.855140743120864,0.63952437027162,0.782391587651905
"limma|FragPipe||MLE|max_pauc005_D.E_HYms2815_TMT16",0.735440078900425,0.766731281793291,0.564879433470362
"limma|FragPipe||MLE|center.mean_pauc005_B.A_HEqe277_TMT10",0.764742159536777,0.758496831705677,0.76345581443472
"limma|FragPipe||MLE|center.mean_pauc005_C.A_HEqe277_TMT10",0.852760048667803,0.83824626056911,0.852008744437117
"limma|FragPipe||MLE|center.mean_pauc005_C.B_HEqe277_TMT10",0.864847924450415,0.848377600633858,0.864353865471922
"limma|FragPipe||MLE|center.mean_pauc005_B.A_HYqfl683_TMT11",0.892526630164112,0.871571777456284,0.889109450603934
"limma|FragPipe||MLE|center.mean_pauc005_C.A_HYqfl683_TMT11",0.871973831443773,0.862133122477525,0.870775677041038
"limma|FragPipe||MLE|center.mean_pauc005_C.B_HYqfl683_TMT11",0.806984104211798,0.807767937231756,0.803029114593319
"limma|FragPipe||MLE|center.mean_pauc005_A.B_HYms2faims815_TMT16",0.811993743696818,0.786374126202067,0.811993743696818
"limma|FragPipe||MLE|center.mean_pauc005_B.D_HYms2faims815_TMT16",0.764930715484522,0.768600577460303,0.764930715484522
"limma|FragPipe||MLE|center.mean_pauc005_C.E_HYms2faims815_TMT16",0.725796371241665,0.733794505260437,0.72310408613748
"limma|FragPipe||MLE|center.mean_pauc005_A.C_HYsps2815_TMT16",0.819937058694637,0.798036888108844,0.813248115639428
"limma|FragPipe||MLE|center.mean_pauc005_B.C_HYsps2815_TMT16",0.797508205043731,0.781069993949814,0.788873966881488
"limma|FragPipe||MLE|center.mean_pauc005_B.E_HYsps2815_TMT16",0.748573498329425,0.761422418078076,0.72040536351648
"limma|FragPipe||MLE|center.mean_pauc005_A.D_HYms2815_TMT16",0.739712787130293,0.717080284221537,0.739712787130293
"limma|FragPipe||MLE|center.mean_pauc005_A.E_HYms2815_TMT16",0.727866191962433,0.71354644598236,0.727866191962433
"limma|FragPipe||MLE|center.mean_pauc005_D.E_HYms2815_TMT16",0.622196170930757,0.661687236597101,0.622196170930757
"limma|FragPipe||MLE|center.median_pauc005_B.A_HEqe277_TMT10",0.76178276042512,0.752037653903554,0.909461509628862
"limma|FragPipe||MLE|center.median_pauc005_C.A_HEqe277_TMT10",0.864117965907855,0.849998410271878,0.949355777990729
"limma|FragPipe||MLE|center.median_pauc005_C.B_HEqe277_TMT10",0.87977189714278,0.873724485434991,0.946988234933185
"limma|FragPipe||MLE|center.median_pauc005_B.A_HYqfl683_TMT11",0.901053563945095,0.885524112289377,0.953947592867953
"limma|FragPipe||MLE|center.median_pauc005_C.A_HYqfl683_TMT11",0.879655502117199,0.882942139831509,0.957774089086076
"limma|FragPipe||MLE|center.median_pauc005_C.B_HYqfl683_TMT11",0.819257644835899,0.827443233105501,0.912022989666747
"limma|FragPipe||MLE|center.median_pauc005_A.B_HYms2faims815_TMT16",0.816744750773104,0.793705109898635,0.922271487929548
"limma|FragPipe||MLE|center.median_pauc005_B.D_HYms2faims815_TMT16",0.748913292152825,0.771302673226797,0.920112130813146
