"protein","contrast","chisq","pvalue","logFC","adj.pvalue","organism","label","TlogFC"
"110","sp|P53184|PNC1_YEAST","conditionC-conditionB",29.7028458044295,1.59365273644241e-06,0.315001764387304,9.85601778728882e-05,"YEAST","1","0.321928094887362"
"111","sp|P39676|FHP_YEAST","conditionC-conditionB",29.6540596066404,1.63174559586476e-06,0.362846097145772,0.000100006894492504,"YEAST","1","0.321928094887362"
"112","sp|P33442|RS3A1_YEAST","conditionC-conditionB",29.6325538593851,1.64882479913864e-06,0.357833792735432,0.00010015138489768,"YEAST","1","0.321928094887362"
"113","sp|P38013|AHP1_YEAST","conditionC-conditionB",29.5954879340683,1.67868113154501e-06,0.302334548687131,0.000100689013452682,"YEAST","1","0.321928094887362"
"114","sp|P12695|ODP2_YEAST","conditionC-conditionB",29.5671686168645,1.70185514425381e-06,0.836345947088299,0.000100689013452682,"YEAST","1","0.321928094887362"
"115","sp|P34760|TSA1_YEAST","conditionC-conditionB",29.5276669899818,1.73471390152447e-06,0.345229620198232,0.000100689013452682,"YEAST","1","0.321928094887362"
"116","sp|Q05911|PUR8_YEAST","conditionC-conditionB",29.5231672428451,1.73849687601368e-06,0.690681905129701,0.000100689013452682,"YEAST","1","0.321928094887362"
"117","sp|P07245|C1TC_YEAST","conditionC-conditionB",29.5145177793371,1.74579168643607e-06,0.347906300523555,0.000100689013452682,"YEAST","1","0.321928094887362"
"118","sp|P23542|AATC_YEAST","conditionC-conditionB",29.5124312346742,1.74755601056731e-06,0.36852498940855,0.000100689013452682,"YEAST","1","0.321928094887362"
"119","sp|P40069|IMB4_YEAST","conditionC-conditionB",29.4958560654798,1.76163486476089e-06,0.364732442542589,0.000100689013452682,"YEAST","1","0.321928094887362"
"120","sp|Q12522|IF6_YEAST","conditionC-conditionB",29.478984888374,1.77608137796881e-06,0.412141205237917,0.000100689013452682,"YEAST","1","0.321928094887362"
"121","sp|Q06252|YL179_YEAST","conditionC-conditionB",29.4394242508599,1.81042178626356e-06,0.457238295920533,0.000101787598445876,"YEAST","1","0.321928094887362"
"122","sp|P0C0W1|RS22A_YEAST;sp|Q3E7Y3|RS22B_YEAST","conditionC-conditionB",29.4052797449235,1.84059294172645e-06,0.4100543714032,0.000102635686742336,"YEAST","1","0.321928094887362"
"123","sp|P32368|SAC1_YEAST","conditionC-conditionB",29.3813637166305,1.86202417440384e-06,0.335896446469071,0.000102986589093247,"YEAST","1","0.321928094887362"
