iter	Passed	Remaining
837	46494	8988
838	46547	8932
839	46598	8875
840	46652	8820
841	46704	8764
842	46756	8707
843	46813	8652
844	46864	8596
845	46915	8540
846	46968	8484
847	47020	8428
848	47071	8371
849	47121	8315
850	47172	8259
851	47223	8203
852	47277	8147
853	47330	8091
854	47383	8035
855	47434	7979
856	47488	7924
857	47541	7868
858	47592	7812
859	47644	7756
860	47700	7700
861	47755	7645
862	47816	7590
863	47872	7535
864	47926	7479
865	47977	7423
866	48031	7368
867	48084	7312
868	48137	7256
869	48188	7200
870	48240	7144
871	48292	7088
872	48345	7033
873	48398	6977
874	48449	6921
875	48499	6865
876	48555	6809
877	48607	6754
878	48660	6698
879	48713	6642
880	48775	6588
881	48839	6534
882	48899	6479
883	48959	6424
884	49022	6370
885	49079	6314
886	49138	6260
887	49195	6204
888	49249	6149
889	49300	6093
890	49354	6037
891	49405	5981
892	49473	5928
893	49524	5871
894	49574	5816
895	49626	5760
896	49677	5704
897	49727	5648
898	49784	5593
899	49842	5538
900	49893	5482
901	49946	5426
902	49999	5370
903	50050	5315
904	50102	5259
905	50153	5203
906	50206	5148
907	50260	5092
908	50313	5036
909	50365	4981
910	50416	4925
911	50466	4869
912	50526	4814
913	50598	4760
914	50658	4705
915	50716	4650
916	50776	4595
917	50836	4540
918	50894	4485
919	50949	4430
920	51004	4375
921	51058	4319
922	51111	4263
923	51163	4208
924	51215	4152
925	51267	4096
926	51320	4041
927	51374	3985
928	51426	3930
929	51479	3874
930	51534	3819
931	51586	3763
932	51636	3708
933	51686	3652
934	51738	3596
935	51803	3542
936	51882	3488
937	51947	3433
938	52006	3378
939	52068	3323
940	52121	3267
941	52175	3212
942	52226	3156
943	52278	3101
944	52329	3045
945	52379	2989
946	52431	2934
947	52481	2878
948	52538	2823
949	52588	2767
950	52640	2712
951	52692	2656
952	52747	2601
953	52808	2546
954	52862	2490
955	52919	2435
956	52975	2380
957	53032	2324
958	53083	2269
959	53135	2213
960	53187	2158
961	53240	2103
962	53291	2047
963	53346	1992
964	53400	1936
965	53453	1881
966	53507	1826
967	53560	1770
968	53613	1715
969	53665	1659
970	53728	1604
971	53784	1549
972	53838	1493
973	53910	1439
974	53979	1384
975	54040	1328
976	54101	1273
977	54155	1218
978	54207	1162
979	54259	1107
980	54313	1051
981	54366	996
982	54420	941
983	54473	885
984	54527	830
985	54578	774
986	54630	719
987	54682	664
988	54734	608
989	54787	553
990	54839	498
991	54890	442
992	54942	387
993	54996	331
994	55048	276
995	55099	221
996	55150	165
997	55202	110
998	55253	55
999	55305	0
